,lambda_sparsity,lambda_TV,entropy,TSV,cross_val_score
0,1e-06,1e-08,1e-06,1e-06,85.40020977682812
1,1e-06,1e-08,1e-06,2.6826957952797274e-06,70.38831315709409
2,1e-06,1e-08,1e-06,7.196856730011514e-06,55.644157981403495
3,1e-06,1e-08,1e-06,1.9306977288832496e-05,43.3088807010503
4,1e-06,1e-08,1e-06,5.1794746792312125e-05,33.321855952808505
5,1e-06,1e-08,1e-06,0.00013894954943731373,27.854595722463568
6,1e-06,1e-08,1e-06,0.0003727593720314938,28.599652862436372
7,1e-06,1e-08,1e-06,0.001,36.0175688894621
8,1e-06,1e-08,2.6826957952797274e-06,1e-06,59.03179099446569
9,1e-06,1e-08,2.6826957952797274e-06,2.6826957952797274e-06,50.383875904073
10,1e-06,1e-08,2.6826957952797274e-06,7.196856730011514e-06,40.949537107474
11,1e-06,1e-08,2.6826957952797274e-06,1.9306977288832496e-05,32.569738013006585
12,1e-06,1e-08,2.6826957952797274e-06,5.1794746792312125e-05,25.866776528864833
13,1e-06,1e-08,2.6826957952797274e-06,0.00013894954943731373,22.218439351663736
14,1e-06,1e-08,2.6826957952797274e-06,0.0003727593720314938,23.47044815116793
15,1e-06,1e-08,2.6826957952797274e-06,0.001,30.33375498152403
16,1e-06,1e-08,7.196856730011514e-06,1e-06,33.5903217591232
17,1e-06,1e-08,7.196856730011514e-06,2.6826957952797274e-06,29.899963198160876
18,1e-06,1e-08,7.196856730011514e-06,7.196856730011514e-06,25.540712204298867
19,1e-06,1e-08,7.196856730011514e-06,1.9306977288832496e-05,21.490946751289965
20,1e-06,1e-08,7.196856730011514e-06,5.1794746792312125e-05,17.909682184555038
21,1e-06,1e-08,7.196856730011514e-06,0.00013894954943731373,16.019569425394664
22,1e-06,1e-08,7.196856730011514e-06,0.0003727593720314938,17.15071640508193
23,1e-06,1e-08,7.196856730011514e-06,0.001,22.603642444241785
24,1e-06,1e-08,1.9306977288832496e-05,1e-06,17.944980457565794
25,1e-06,1e-08,1.9306977288832496e-05,2.6826957952797274e-06,16.854253883606066
26,1e-06,1e-08,1.9306977288832496e-05,7.196856730011514e-06,15.371292805312661
27,1e-06,1e-08,1.9306977288832496e-05,1.9306977288832496e-05,13.816819484933426
28,1e-06,1e-08,1.9306977288832496e-05,5.1794746792312125e-05,12.271214031652264
29,1e-06,1e-08,1.9306977288832496e-05,0.00013894954943731373,11.628982634454273
30,1e-06,1e-08,1.9306977288832496e-05,0.0003727593720314938,12.461857471070596
31,1e-06,1e-08,1.9306977288832496e-05,0.001,15.746669778591333
32,1e-06,1e-08,5.1794746792312125e-05,1e-06,11.799044997291231
33,1e-06,1e-08,5.1794746792312125e-05,2.6826957952797274e-06,11.48167425430751
34,1e-06,1e-08,5.1794746792312125e-05,7.196856730011514e-06,10.955269638429218
35,1e-06,1e-08,5.1794746792312125e-05,1.9306977288832496e-05,10.376757523475508
36,1e-06,1e-08,5.1794746792312125e-05,5.1794746792312125e-05,9.911294014964398
37,1e-06,1e-08,5.1794746792312125e-05,0.00013894954943731373,9.742018657375771
38,1e-06,1e-08,5.1794746792312125e-05,0.0003727593720314938,10.191358408258557
39,1e-06,1e-08,5.1794746792312125e-05,0.001,11.877896936984996
40,1e-06,1e-08,0.00013894954943731373,1e-06,9.938692776337824
41,1e-06,1e-08,0.00013894954943731373,2.6826957952797274e-06,9.798407538948531
42,1e-06,1e-08,0.00013894954943731373,7.196856730011514e-06,9.578959867919155
43,1e-06,1e-08,0.00013894954943731373,1.9306977288832496e-05,9.357728714378833
44,1e-06,1e-08,0.00013894954943731373,5.1794746792312125e-05,9.187909055431252
45,1e-06,1e-08,0.00013894954943731373,0.00013894954943731373,9.123936381212477
46,1e-06,1e-08,0.00013894954943731373,0.0003727593720314938,9.352677760891503
47,1e-06,1e-08,0.00013894954943731373,0.001,10.287258631088488
48,1e-06,1e-08,0.0003727593720314938,1e-06,10.269656761469008
49,1e-06,1e-08,0.0003727593720314938,2.6826957952797274e-06,10.197884833703517
50,1e-06,1e-08,0.0003727593720314938,7.196856730011514e-06,10.076938609208064
51,1e-06,1e-08,0.0003727593720314938,1.9306977288832496e-05,9.939364262982213
52,1e-06,1e-08,0.0003727593720314938,5.1794746792312125e-05,9.825852393261833
53,1e-06,1e-08,0.0003727593720314938,0.00013894954943731373,9.783790834814287
