,lambda_sparsity,lambda_TV,entropy,TSV,cross_val_score
0,1e-06,1e-06,1e-06,1e-06,93.42314527355333
1,1e-06,1e-06,1e-06,3.1622776601683795e-05,44.13289932187787
2,1e-06,1e-06,1e-06,0.001,38.8770167503799
3,1e-06,1e-06,3.1622776601683795e-05,1e-06,14.816274743667378
4,1e-06,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,11.333826828439843
5,1e-06,1e-06,3.1622776601683795e-05,0.001,12.86697728137755
6,1e-06,1e-06,0.001,1e-06,16.838656310347027
7,1e-06,1e-06,0.001,3.1622776601683795e-05,16.623826791581397
8,1e-06,1e-06,0.001,0.001,17.463018275819067
9,1e-06,3.1622776601683795e-05,1e-06,1e-06,40.74606724823506
10,1e-06,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,32.66184200090814
11,1e-06,3.1622776601683795e-05,1e-06,0.001,35.98866587731708
12,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,11.308439331955626
13,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,10.389200142793646
14,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,0.001,12.643506828924028
15,1e-06,3.1622776601683795e-05,0.001,1e-06,16.656079420659502
16,1e-06,3.1622776601683795e-05,0.001,3.1622776601683795e-05,16.50916231916598
17,1e-06,3.1622776601683795e-05,0.001,0.001,17.481597986215036
18,1e-06,0.001,1e-06,1e-06,8.370723381461852
19,1e-06,0.001,1e-06,3.1622776601683795e-05,8.441633694040444
20,1e-06,0.001,1e-06,0.001,10.275052709285927
21,1e-06,0.001,3.1622776601683795e-05,1e-06,7.992882320440762
22,1e-06,0.001,3.1622776601683795e-05,3.1622776601683795e-05,8.052081116750024
23,1e-06,0.001,3.1622776601683795e-05,0.001,9.419535294014413
24,1e-06,0.001,0.001,1e-06,16.748426669738905
25,1e-06,0.001,0.001,3.1622776601683795e-05,16.838712892685066
26,1e-06,0.001,0.001,0.001,18.29391453799242
27,3.1622776601683795e-05,1e-06,1e-06,1e-06,20.007852744546966
28,3.1622776601683795e-05,1e-06,1e-06,3.1622776601683795e-05,13.258766454197222
29,3.1622776601683795e-05,1e-06,1e-06,0.001,14.964949020068904
30,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,1e-06,12.197481320977783
31,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,10.162915317911327
32,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,0.001,11.047329970199662
33,3.1622776601683795e-05,1e-06,0.001,1e-06,17.116327911818342
34,3.1622776601683795e-05,1e-06,0.001,3.1622776601683795e-05,16.89762955974119
35,3.1622776601683795e-05,1e-06,0.001,0.001,17.734087881651632
36,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,1e-06,12.979274046208491
37,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,11.616902181914561
38,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,0.001,14.566798015117342
39,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,9.969858443041097
40,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,9.38273170764241
41,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,0.001,10.915911660871972
42,3.1622776601683795e-05,3.1622776601683795e-05,0.001,1e-06,16.93249734577055
43,3.1622776601683795e-05,3.1622776601683795e-05,0.001,3.1622776601683795e-05,16.781904009258348
44,3.1622776601683795e-05,3.1622776601683795e-05,0.001,0.001,17.753197584236656
45,3.1622776601683795e-05,0.001,1e-06,1e-06,8.02985982718689
46,3.1622776601683795e-05,0.001,1e-06,3.1622776601683795e-05,8.093134289427743
47,3.1622776601683795e-05,0.001,1e-06,0.001,9.528021161545228
48,3.1622776601683795e-05,0.001,3.1622776601683795e-05,1e-06,7.922291759008413
49,3.1622776601683795e-05,0.001,3.1622776601683795e-05,3.1622776601683795e-05,7.980419628004324
50,3.1622776601683795e-05,0.001,3.1622776601683795e-05,0.001,9.188888281560866
51,3.1622776601683795e-05,0.001,0.001,1e-06,17.03877932509817
52,3.1622776601683795e-05,0.001,0.001,3.1622776601683795e-05,17.104325629234754
53,3.1622776601683795e-05,0.001,0.001,0.001,18.585110429022336
54,0.001,1e-06,1e-06,1e-06,11.440689518520475
55,0.001,1e-06,1e-06,3.1622776601683795e-05,10.830908736709222
56,0.001,1e-06,1e-06,0.001,11.371805874582154
57,0.001,1e-06,3.1622776601683795e-05,1e-06,11.72967746375712
58,0.001,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,11.142078790471272
59,0.001,1e-06,3.1622776601683795e-05,0.001,11.698415052964299
60,0.001,1e-06,0.001,1e-06,27.58819552000059
61,0.001,1e-06,0.001,3.1622776601683795e-05,27.25748697035253
62,0.001,1e-06,0.001,0.001,28.006762139320863
63,0.001,3.1622776601683795e-05,1e-06,1e-06,10.932273760737651
64,0.001,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,10.679064854989843
65,0.001,3.1622776601683795e-05,1e-06,0.001,11.383145003590874
66,0.001,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,11.249404335711247
67,0.001,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,10.991893145592627
68,0.001,3.1622776601683795e-05,3.1622776601683795e-05,0.001,11.710674108909993
69,0.001,3.1622776601683795e-05,0.001,1e-06,27.35462090502166
70,0.001,3.1622776601683795e-05,0.001,3.1622776601683795e-05,27.120880746713908
71,0.001,3.1622776601683795e-05,0.001,0.001,28.033272345474515
72,0.001,0.001,1e-06,1e-06,10.738187125512464
73,0.001,0.001,1e-06,3.1622776601683795e-05,10.798838786023902
74,0.001,0.001,1e-06,0.001,12.006593466039647
75,0.001,0.001,3.1622776601683795e-05,1e-06,11.068070228379339
76,0.001,0.001,3.1622776601683795e-05,3.1622776601683795e-05,11.125807977976613
77,0.001,0.001,3.1622776601683795e-05,0.001,12.353118482614798
78,0.001,0.001,0.001,1e-06,27.381477427486825
79,0.001,0.001,0.001,3.1622776601683795e-05,27.446958068877848
80,0.001,0.001,0.001,0.001,29.014929422673518
